implementation,boardSize,level,steps,milliSeconds
benjamin.Board,1024,10,200,274
benjamin.Board,1024,40,200,1553
benjamin.Board,1024,80,200,3069
benjamin.Board,4096,10,200,7584
benjamin.Board,4096,40,200,34776
benjamin.Board,4096,80,200,79367
de.red6.gameoflife.daniel.GameOfLife,1024,10,200,1134
de.red6.gameoflife.daniel.GameOfLife,1024,40,200,1465
de.red6.gameoflife.daniel.GameOfLife,1024,80,200,913
de.red6.gameoflife.daniel.GameOfLife,4096,10,200,17584
de.red6.gameoflife.daniel.GameOfLife,4096,40,200,22858
de.red6.gameoflife.daniel.GameOfLife,4096,80,200,13773
de.red6.gameoflife.daniel.GameOfLifeNeighbours,1024,10,200,3426
de.red6.gameoflife.daniel.GameOfLifeNeighbours,1024,40,200,4927
de.red6.gameoflife.daniel.GameOfLifeNeighbours,1024,80,200,2970
de.red6.gameoflife.daniel.GameOfLifeNeighbours,4096,10,200,55355
de.red6.gameoflife.daniel.GameOfLifeNeighbours,4096,40,200,76419
de.red6.gameoflife.daniel.GameOfLifeNeighbours,4096,80,200,47763
de.red6.gameoflife.frank.BitSetBoard,1024,10,200,6733
de.red6.gameoflife.frank.BitSetBoard,1024,40,200,7817
de.red6.gameoflife.frank.BitSetBoard,1024,80,200,5567
de.red6.gameoflife.frank.BitSetBoard,4096,10,200,124155
de.red6.gameoflife.frank.BitSetBoard,4096,40,200,141955
de.red6.gameoflife.frank.BitSetBoard,4096,80,200,105782
de.red6.gameoflife.frank.BooleanArrayBoard,1024,10,200,2121
de.red6.gameoflife.frank.BooleanArrayBoard,1024,40,200,2320
de.red6.gameoflife.frank.BooleanArrayBoard,1024,80,200,1957
de.red6.gameoflife.frank.BooleanArrayBoard,4096,10,200,34374
de.red6.gameoflife.frank.BooleanArrayBoard,4096,40,200,36874
de.red6.gameoflife.frank.BooleanArrayBoard,4096,80,200,31160
de.red6.gameoflife.frank.CalcNeighboursOnceBoard,1024,10,200,1655
de.red6.gameoflife.frank.CalcNeighboursOnceBoard,1024,40,200,2014
de.red6.gameoflife.frank.CalcNeighboursOnceBoard,1024,80,200,1492
de.red6.gameoflife.frank.CalcNeighboursOnceBoard,4096,10,200,111960
de.red6.gameoflife.frank.CalcNeighboursOnceBoard,4096,40,200,114139
de.red6.gameoflife.frank.CalcNeighboursOnceBoard,4096,80,200,107796
de.red6.gameoflife.frank.EnlargedBooleaArrayBoard,1024,10,200,788
de.red6.gameoflife.frank.EnlargedBooleaArrayBoard,1024,40,200,943
de.red6.gameoflife.frank.EnlargedBooleaArrayBoard,1024,80,200,668
de.red6.gameoflife.frank.EnlargedBooleaArrayBoard,4096,10,200,12275
de.red6.gameoflife.frank.EnlargedBooleaArrayBoard,4096,40,200,14865
de.red6.gameoflife.frank.EnlargedBooleaArrayBoard,4096,80,200,10358
de.red6.gameoflive.sven.Sven0BoardImpl,1024,10,200,2245
de.red6.gameoflive.sven.Sven0BoardImpl,1024,40,200,4111
de.red6.gameoflive.sven.Sven0BoardImpl,1024,80,200,1310
de.red6.gameoflive.sven.Sven0BoardImpl,4096,10,200,72465
de.red6.gameoflive.sven.Sven0BoardImpl,4096,40,200,174846
de.red6.gameoflive.sven.Sven0BoardImpl,4096,80,200,44680
de.red6.gameoflive.sven.Sven1BoardImpl,1024,10,200,3300
de.red6.gameoflive.sven.Sven1BoardImpl,1024,40,200,4522
de.red6.gameoflive.sven.Sven1BoardImpl,1024,80,200,2939
de.red6.gameoflive.sven.Sven1BoardImpl,4096,10,200,170772
de.red6.gameoflive.sven.Sven1BoardImpl,4096,40,200,196610
de.red6.gameoflive.sven.Sven1BoardImpl,4096,80,200,153742
de.red6.gameoflive.sven.Sven2BoardImpl,1024,10,200,4168
de.red6.gameoflive.sven.Sven2BoardImpl,1024,40,200,5110
de.red6.gameoflive.sven.Sven2BoardImpl,1024,80,200,3522
de.red6.gameoflive.sven.Sven2BoardImpl,4096,10,200,190510
de.red6.gameoflive.sven.Sven2BoardImpl,4096,40,200,211149
de.red6.gameoflive.sven.Sven2BoardImpl,4096,80,200,175688
